player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Sébastien Bruno,Hooker,26 August 1974,22.0,Sale,England,2007,2007-09-07,France,1974-08-26,12065.0
Raphaël Ibañez (c),Hooker,17 February 1973,92.0,Wasps,England,2007,2007-09-07,France,1973-02-17,12620.0
Dimitri Szarzewski,Hooker,26 January 1983,16.0,Stade Français,France,2007,2007-09-07,France,1983-01-26,8990.0
Pieter de Villiers,Prop,3 July 1972,64.0,Stade Français,France,2007,2007-09-07,France,1972-07-03,12849.0
Nicolas Mas,Prop,25 May 1980,10.0,Perpignan,France,2007,2007-09-07,France,1980-05-25,9966.0
Olivier Milloud,Prop,9 December 1975,45.0,Bourgoin,France,2007,2007-09-07,France,1975-12-09,11595.0
Jean-Baptiste Poux,Prop,26 September 1979,14.0,Toulouse,France,2007,2007-09-07,France,1979-09-26,10208.0
Sébastien Chabal,Lock,8 December 1977,31.0,Sale,England,2007,2007-09-07,France,1977-12-08,10865.0
Lionel Nallet,Lock,14 September 1976,28.0,Castres,France,2007,2007-09-07,France,1976-09-14,11315.0
Fabien Pelous,Lock,7 December 1973,113.0,Toulouse,France,2007,2007-09-07,France,1973-12-07,12327.0
Jérôme Thion,Lock,2 December 1977,36.0,Biarritz,France,2007,2007-09-07,France,1977-12-02,10871.0
Serge Betsen,Back row,25 March 1974,58.0,Biarritz,France,2007,2007-09-07,France,1974-03-25,12219.0
Thierry Dusautoir,Back row,18 November 1981,5.0,Toulouse,France,2007,2007-09-07,France,1981-11-18,9424.0
Rémy Martin,Back row,10 August 1979,18.0,Stade Français,France,2007,2007-09-07,France,1979-08-10,10255.0
Yannick Nyanga,Back row,19 December 1983,21.0,Toulouse,France,2007,2007-09-07,France,1983-12-19,8663.0
Julien Bonnaire,Back row,20 September 1978,31.0,Bourgoin,France,2007,2007-09-07,France,1978-09-20,10579.0
Imanol Harinordoquy,Back row,20 February 1980,41.0,Biarritz,France,2007,2007-09-07,France,1980-02-20,10061.0
Jean-Baptiste Élissalde,Scrum-half,23 November 1977,23.0,Toulouse,France,2007,2007-09-07,France,1977-11-23,10880.0
Pierre Mignoni,Scrum-half,28 February 1977,25.0,Clermont,France,2007,2007-09-07,France,1977-02-28,11148.0
Lionel Beauxis,Fly-half,24 October 1985,6.0,Stade Français,France,2007,2007-09-07,France,1985-10-24,7988.0
Frédéric Michalak,Fly-half,16 October 1982,44.0,Toulouse,France,2007,2007-09-07,France,1982-10-16,9092.0
David Skrela,Fly-half,2 March 1979,8.0,Stade Français,France,2007,2007-09-07,France,1979-03-02,10416.0
Yannick Jauzion,Centre,28 July 1978,44.0,Toulouse,France,2007,2007-09-07,France,1978-07-28,10633.0
David Marty,Centre,30 October 1982,13.0,Perpignan,France,2007,2007-09-07,France,1982-10-30,9078.0
Damien Traille,Centre,12 June 1979,53.0,Biarritz,France,2007,2007-09-07,France,1979-06-12,10314.0
Vincent Clerc,Wing,7 May 1981,22.0,Toulouse,France,2007,2007-09-07,France,1981-05-07,9619.0
Christophe Dominici,Wing,20 May 1972,62.0,Stade Français,France,2007,2007-09-07,France,1972-05-20,12893.0
Cédric Heymans,Wing,20 July 1978,32.0,Toulouse,France,2007,2007-09-07,France,1978-07-20,10641.0
Aurélien Rougerie,Wing,26 September 1980,46.0,Clermont,France,2007,2007-09-07,France,1980-09-26,9842.0
Clément Poitrenaud,Fullback,20 May 1982,28.0,Toulouse,France,2007,2007-09-07,France,1982-05-20,9241.0
Akvsenti Giorgadze,Hooker,4 June 1976,47.0,Castres,France,2007,2007-09-07,Georgia,1976-06-04,11417.0
David Khinchaguishvili,Prop,24 July 1982,15.0,Bourgoin,France,2007,2007-09-07,Georgia,1982-07-24,9176.0
Avtandil Kopaliani,Prop,13 June 1982,19.0,Montauban,France,2007,2007-09-07,Georgia,1982-06-13,9217.0
Mamuka Magrakvelidze,Prop,12 August 1977,18.0,Metro Paris,France,2007,2007-09-07,Georgia,1977-08-12,10983.0
Goderdzi Shvelidze,Prop,17 April 1978,37.0,Clermont,France,2007,2007-09-07,Georgia,1978-04-17,10735.0
Davit Zirakashvili,Prop,10 October 1983,13.0,Clermont,France,2007,2007-09-07,Georgia,1983-10-10,8733.0
Levan Datunashvili,Lock,18 January 1983,19.0,Montluçon,France,2007,2007-09-07,Georgia,1983-01-18,8998.0
Victor Didebulidze,Lock,4 November 1971,39.0,Massy,France,2007,2007-09-07,Georgia,1971-11-04,13091.0
Zurab Mtchedlishvili,Lock,22 October 1971,44.0,Figeac,France,2007,2007-09-07,Georgia,1971-10-22,13104.0
Mamuka Gorgodze,Lock,14 July 1984,23.0,Montpellier,France,2007,2007-09-07,Georgia,1984-07-14,8455.0
Ilia Zedguinidze (c),Lock,20 January 1977,46.0,Auch,France,2007,2007-09-07,Georgia,1977-01-20,11187.0
George Chkhaidze,Back row,19 August 1981,20.0,Massy,France,2007,2007-09-07,Georgia,1981-08-19,9515.0
Gia Labadze,Back row,21 September 1973,45.0,Toulon,France,2007,2007-09-07,Georgia,1973-09-21,12404.0
Ilia Maissuradze,Back row,1 July 1977,16.0,Nantes,France,2007,2007-09-07,Georgia,1977-07-01,11025.0
Zviad Maissuradze,Back row,28 October 1980,19.0,Locomotivi Tbilisi,Georgia (country),2007,2007-09-07,Georgia,1980-10-28,9810.0
Rati Urushadze,Back row,22 September 1975,22.0,Nice,France,2007,2007-09-07,Georgia,1975-09-22,11673.0
Besso Udessiani,Back row,14 March 1979,26.0,Chalon,France,2007,2007-09-07,Georgia,1979-03-14,10404.0
Irakli Abuseridze,Scrum-half,25 November 1977,44.0,Orléans,France,2007,2007-09-07,Georgia,1977-11-25,10878.0
Meko Kvirikashvili,Scrum-half,27 December 1983,20.0,Pau,France,2007,2007-09-07,Georgia,1983-12-27,8655.0
Bidzina Samkharadze,Scrum-half,2 October 1983,26.0,Farul Constanţa,Romania,2007,2007-09-07,Georgia,1983-10-02,8741.0
Otar Barkalaia,Fly-half,17 February 1984,23.0,Figeac,France,2007,2007-09-07,Georgia,1984-02-17,8603.0
Paliko Jimsheladze,Fly-half,8 July 1975,56.0,Arras,France,2007,2007-09-07,Georgia,1975-07-08,11749.0
Revaz Gigauri,Centre,9 May 1984,11.0,Montluçon,France,2007,2007-09-07,Georgia,1984-05-09,8521.0
Irakli Giorgadze,Centre,26 December 1982,27.0,Bourgoin,France,2007,2007-09-07,Georgia,1982-12-26,9021.0
Davit Kacharava,Centre,16 January 1985,12.0,Bastia,France,2007,2007-09-07,Georgia,1985-01-16,8269.0
Malkhaz Urjukashvili,Centre,24 September 1980,21.0,Aurillac,France,2007,2007-09-07,Georgia,1980-09-24,9844.0
Giorgi Elizbarashvili,Wing,21 January 1984,14.0,Krasny Yar,Russia,2007,2007-09-07,Georgia,1984-01-21,8630.0
Otar Eloshvili,Wing,15 November 1978,9.0,Arras,France,2007,2007-09-07,Georgia,1978-11-15,10523.0
Besik Khamashuridze,Wing,14 August 1977,49.0,Cannes,France,2007,2007-09-07,Georgia,1977-08-14,10981.0
Irakli Machkhaneli,Wing,18 July 1981,24.0,Mont-de-Marsan,France,2007,2007-09-07,Georgia,1981-07-18,9547.0
George Shkinini,Wing,7 March 1983,19.0,Blois,France,2007,2007-09-07,Georgia,1983-03-07,8950.0
Simon Best,Prop,11 February 1978,19.0,Ulster,Ireland,2007,2007-09-07,Ireland,1978-02-11,10800.0
John Hayes,Prop,2 November 1973,74.0,Munster,Ireland,2007,2007-09-07,Ireland,1973-11-02,12362.0
Marcus Horan,Prop,7 September 1977,46.0,Munster,Ireland,2007,2007-09-07,Ireland,1977-09-07,10957.0
Bryan Young,Prop,6 November 1981,8.0,Ulster,Ireland,2007,2007-09-07,Ireland,1981-11-06,9436.0
Rory Best,Hooker,15 August 1982,13.0,Ulster,Ireland,2007,2007-09-07,Ireland,1982-08-15,9154.0
Jerry Flannery,Hooker,17 October 1978,16.0,Munster,Ireland,2007,2007-09-07,Ireland,1978-10-17,10552.0
Frankie Sheahan,Hooker,27 August 1976,28.0,Munster,Ireland,2007,2007-09-07,Ireland,1976-08-27,11333.0
Donncha O'Callaghan,Lock,23 March 1979,35.0,Munster,Ireland,2007,2007-09-07,Ireland,1979-03-23,10395.0
Paul O'Connell,Lock,20 October 1979,44.0,Munster,Ireland,2007,2007-09-07,Ireland,1979-10-20,10184.0
Malcolm O'Kelly,Lock,19 July 1974,86.0,Leinster,Ireland,2007,2007-09-07,Ireland,1974-07-19,12103.0
Neil Best,Back row,3 April 1979,13.0,Ulster,Ireland,2007,2007-09-07,Ireland,1979-04-03,10384.0
Simon Easterby,Back row,21 July 1975,57.0,Scarlets,Wales,2007,2007-09-07,Ireland,1975-07-21,11736.0
Stephen Ferris,Back row,2 September 1985,4.0,Ulster,Ireland,2007,2007-09-07,Ireland,1985-09-02,8040.0
Alan Quinlan,Back row,13 July 1974,25.0,Munster,Ireland,2007,2007-09-07,Ireland,1974-07-13,12109.0
David Wallace,Back row,8 July 1976,37.0,Munster,Ireland,2007,2007-09-07,Ireland,1976-07-08,11383.0
Denis Leamy,Back row,27 November 1981,22.0,Munster,Ireland,2007,2007-09-07,Ireland,1981-11-27,9415.0
Isaac Boss,Scrum-half,9 April 1980,9.0,Ulster,Ireland,2007,2007-09-07,Ireland,1980-04-09,10012.0
Eoin Reddan,Scrum-half,20 November 1980,3.0,Wasps,England,2007,2007-09-07,Ireland,1980-11-20,9787.0
Peter Stringer,Scrum-half,13 December 1977,76.0,Munster,Ireland,2007,2007-09-07,Ireland,1977-12-13,10860.0
Ronan O'Gara,Fly-half,7 March 1977,72.0,Munster,Ireland,2007,2007-09-07,Ireland,1977-03-07,11141.0
Paddy Wallace,Fly-half,27 August 1979,5.0,Ulster,Ireland,2007,2007-09-07,Ireland,1979-08-27,10238.0
Gordon D'Arcy,Centre,10 February 1980,31.0,Leinster,Ireland,2007,2007-09-07,Ireland,1980-02-10,10071.0
Gavin Duffy,Centre,18 September 1981,7.0,Connacht,Ireland,2007,2007-09-07,Ireland,1981-09-18,9485.0
Brian O'Driscoll (c),Centre,21 January 1979,75.0,Leinster,Ireland,2007,2007-09-07,Ireland,1979-01-21,10456.0
Brian Carney,Wing,23 July 1976,3.0,Munster,Ireland,2007,2007-09-07,Ireland,1976-07-23,11368.0
Denis Hickie,Wing,13 February 1976,58.0,Leinster,Ireland,2007,2007-09-07,Ireland,1976-02-13,11529.0
Shane Horgan,Wing,18 July 1978,55.0,Leinster,Ireland,2007,2007-09-07,Ireland,1978-07-18,10643.0
Andrew Trimble,Wing,20 October 1984,16.0,Ulster,Ireland,2007,2007-09-07,Ireland,1984-10-20,8357.0
Girvan Dempsey,Fullback,2 October 1975,74.0,Leinster,Ireland,2007,2007-09-07,Ireland,1975-10-02,11663.0
Geordan Murphy,Fullback,19 April 1978,49.0,Leicester,England,2007,2007-09-07,Ireland,1978-04-19,10733.0
Jané du Toit,Prop,2 October 1975,,Boland,South Africa,2007,2007-09-07,Namibia,1975-10-02,11663.0
Kees Lensing (c),Prop,1 June 1978,,Sharks,South Africa,2007,2007-09-07,Namibia,1978-06-01,10690.0
Johnny Redelinghuys,Prop,7 February 1984,,Kimberley Tech,South Africa,2007,2007-09-07,Namibia,1984-02-07,8613.0
Marius Visser,Prop,24 April 1982,,Border,South Africa,2007,2007-09-07,Namibia,1982-04-24,9267.0
Skipper Badenhorst,Hooker,1 December 1978,,Sharks,South Africa,2007,2007-09-07,Namibia,1978-12-01,10507.0
Hugo Horn,Hooker,9 May 1977,,Border,South Africa,2007,2007-09-07,Namibia,1977-05-09,11078.0
Johannes Meyer,Hooker,19 February 1981,,Wanderers,Namibia,2007,2007-09-07,Namibia,1981-02-19,9696.0
Nico Esterhuyse,Lock,5 March 1984,,Maties RC,South Africa,2007,2007-09-07,Namibia,1984-03-05,8586.0
Domingo Kamonga,Lock,3 March 1974,,United Rugby Club,Namibia,2007,2007-09-07,Namibia,1974-03-03,12241.0
Uakazuwaka Kazombiaze,Lock,25 January 1979,,Western Suburbs,Namibia,2007,2007-09-07,Namibia,1979-01-25,10452.0
Heino Senekal,Lock,20 October 1975,,Cornish Pirates,England,2007,2007-09-07,Namibia,1975-10-20,11645.0
Jacques Burger,Back row,29 July 1983,,Stade Aurillacois Cantal Auvergne,France,2007,2007-09-07,Namibia,1983-07-29,8806.0
Tinus du Plessis,Back row,20 May 1984,,Maties RC,South Africa,2007,2007-09-07,Namibia,1984-05-20,8510.0
Herman Lintvelt,Back row,6 September 1976,,United Rugby Club,Namibia,2007,2007-09-07,Namibia,1976-09-06,11323.0
Michael MacKenzie,Back row,13 September 1983,,United Rugby Club,Namibia,2007,2007-09-07,Namibia,1983-09-13,8760.0
Jacques Nieuwenhuis,Back row,23 March 1980,,Valke,South Africa,2007,2007-09-07,Namibia,1980-03-23,10029.0
Eugene Jantjies,Scrum-half,10 August 1986,,Western Suburbs,Namibia,2007,2007-09-07,Namibia,1986-08-10,7698.0
Jurie van Tonder,Scrum-half,9 April 1980,,United Rugby Club,Namibia,2007,2007-09-07,Namibia,1980-04-09,10012.0
Morné Schreuder,Fly-half,5 September 1979,,Wanderers,Namibia,2007,2007-09-07,Namibia,1979-09-05,10229.0
Lu-Wayne Botes,Centre,18 January 1978,,JHB University,South Africa,2007,2007-09-07,Namibia,1978-01-18,10824.0
Du Preez Grobler,Centre,8 June 1977,,United Rugby Club,Namibia,2007,2007-09-07,Namibia,1977-06-08,11048.0
Bratley Langenhoven,Centre,3 December 1983,,Pukke,South Africa,2007,2007-09-07,Namibia,1983-12-03,8679.0
Piet van Zyl,Centre,14 May 1979,,Boland,South Africa,2007,2007-09-07,Namibia,1979-05-14,10343.0
Emile Wessels,Centre,27 June 1979,,Tuggeranong Vikings,Australia,2007,2007-09-07,Namibia,1979-06-27,10299.0
Melrick Africa,Wing,18 January 1978,,Reho Falcons,Namibia,2007,2007-09-07,Namibia,1978-01-18,10824.0
John Drotsky,Wing,6 June 1984,,Reho Falcons,Namibia,2007,2007-09-07,Namibia,1984-06-06,8493.0
Deon Mouton,Wing,29 November 1974,,Reho Falcons,Namibia,2007,2007-09-07,Namibia,1974-11-29,11970.0
Ryan Witbooi,Wing,7 September 1985,,Western Suburbs,Namibia,2007,2007-09-07,Namibia,1985-09-07,8035.0
Heini Bock,Fullback,28 December 1981,,Reho Falcons,Namibia,2007,2007-09-07,Namibia,1981-12-28,9384.0
Tertius Losper,Fullback,22 November 1985,,Western Suburbs,Namibia,2007,2007-09-07,Namibia,1985-11-22,7959.0
Ryan Hamilton,Hooker,9 April 1988,4.0,BC Bears,Canada,2011,2011-09-09,Canada,1988-04-09,8553.0
Pat Riordan (c),Hooker,30 September 1979,39.0,BC Bears,Canada,2011,2011-09-09,Canada,1979-09-30,11667.0
Hubert Buydens,Prop,4 January 1982,6.0,Prairie Wolf Pack,Canada,2011,2011-09-09,Canada,1982-01-04,10840.0
Scott Franklin,Prop,23 August 1980,8.0,Prairie Wolf Pack,Canada,2011,2011-09-09,Canada,1980-08-23,11339.0
Jason Marshall,Prop,5 February 1985,8.0,Aurillac,France,2011,2011-09-09,Canada,1985-02-05,9712.0
Andrew Tiedemann,Prop,21 July 1988,10.0,Prairie Wolf Pack,Canada,2011,2011-09-09,Canada,1988-07-21,8450.0
Frank Walsh,Prop,5 September 1976,4.0,The Rock,Canada,2011,2011-09-09,Canada,1976-09-05,12787.0
Jamie Cudmore,Lock,6 September 1978,23.0,Clermont Auvergne,France,2011,2011-09-09,Canada,1978-09-06,12056.0
Brian Erichsen,Lock,18 August 1977,5.0,BC Bears,Canada,2011,2011-09-09,Canada,1977-08-18,12440.0
Tyler Hotson,Lock,30 May 1985,20.0,Plymouth Albion,England,2011,2011-09-09,Canada,1985-05-30,9598.0
Nanyak Dala,Back row,18 June 1984,11.0,Prairie Wolf Pack,Canada,2011,2011-09-09,Canada,1984-06-18,9944.0
Adam Kleeberger,Back row,2 March 1984,31.0,London Scottish,England,2011,2011-09-09,Canada,1984-03-02,10052.0
Chauncey O'Toole,Back row,22 February 1986,13.0,Ospreys,Wales,2011,2011-09-09,Canada,1986-02-22,9330.0
Jebb Sinclair,Back row,8 April 1986,17.0,London Irish,England,2011,2011-09-09,Canada,1986-04-08,9285.0
Aaron Carpenter,Back row,9 January 1983,38.0,Plymouth Albion,England,2011,2011-09-09,Canada,1983-01-09,10470.0
Jeremy Kyne,Back row,2 May 1983,1.0,Prairie Wolf Pack,Canada,2011,2011-09-09,Canada,1983-05-02,10357.0
Ed Fairhurst,Scrum-half,7 May 1979,51.0,BC Bears,Canada,2011,2011-09-09,Canada,1979-05-07,11813.0
Jamie Mackenzie,Scrum-half,28 February 1989,3.0,Esher,England,2011,2011-09-09,Canada,1989-02-28,8228.0
Sean White,Scrum-half,28 June 1988,10.0,BC Bears,Canada,2011,2011-09-09,Canada,1988-06-28,8473.0
Nathan Hirayama,Fly-half,23 March 1988,7.0,BC Bears,Canada,2011,2011-09-09,Canada,1988-03-23,8570.0
Ander Monro,Fly-half,6 September 1981,26.0,Ontario Blues,Canada,2011,2011-09-09,Canada,1981-09-06,10960.0
Mike Scholz,Centre,6 August 1988,4.0,Ontario Blues,Canada,2011,2011-09-09,Canada,1988-08-06,8434.0
Ryan Smith,Centre,13 September 1979,47.0,Prairie Wolf Pack,Canada,2011,2011-09-09,Canada,1979-09-13,11684.0
Conor Trainor,Centre,12 May 1989,1.0,BC Bears,Canada,2011,2011-09-09,Canada,1989-05-12,8155.0
DTH van der Merwe,Centre,28 April 1986,17.0,Glasgow Warriors,Scotland,2011,2011-09-09,Canada,1986-04-28,9265.0
Ciaran Hearn,Wing,30 December 1985,17.0,The Rock,Canada,2011,2011-09-09,Canada,1985-12-30,9384.0
Phil Mackenzie,Wing,25 February 1987,9.0,Esher,England,2011,2011-09-09,Canada,1987-02-25,8962.0
Taylor Paris,Wing,6 October 1992,3.0,Ontario Blues,Canada,2011,2011-09-09,Canada,1992-10-06,6912.0
Matt Evans,Fullback,2 January 1988,12.0,Cornish Pirates,England,2011,2011-09-09,Canada,1988-01-02,8651.0
James Pritchard,Fullback,21 July 1979,39.0,Bedford Blues,England,2011,2011-09-09,Canada,1979-07-21,11738.0
Guilhem Guirado,Hooker,17 June 1986,14.0,Perpignan,France,2011,2011-09-09,France,1986-06-17,9215.0
William Servat,Hooker,9 February 1978,37.0,Toulouse,France,2011,2011-09-09,France,1978-02-09,12265.0
Dimitri Szarzewski,Hooker,26 January 1983,50.0,Stade Français,France,2011,2011-09-09,France,1983-01-26,10453.0
Fabien Barcella,Prop,27 October 1983,13.0,Biarritz,France,2011,2011-09-09,France,1983-10-27,10179.0
Luc Ducalcon,Prop,2 January 1984,7.0,Castres,France,2011,2011-09-09,France,1984-01-02,10112.0
Nicolas Mas,Prop,23 May 1980,45.0,Perpignan,France,2011,2011-09-09,France,1980-05-23,11431.0
Jean-Baptiste Poux,Prop,26 September 1979,30.0,Toulouse,France,2011,2011-09-09,France,1979-09-26,11671.0
Romain Millo-Chluski,Lock,20 April 1983,17.0,Toulouse,France,2011,2011-09-09,France,1983-04-20,10369.0
Lionel Nallet,Lock,14 September 1976,64.0,Racing Métro,France,2011,2011-09-09,France,1976-09-14,12778.0
Pascal Papé,Lock,5 October 1980,28.0,Stade Français,France,2011,2011-09-09,France,1980-10-05,11296.0
Julien Pierre,Lock,31 July 1981,19.0,Clermont,France,2011,2011-09-09,France,1981-07-31,10997.0
Julien Bonnaire,Back row,20 September 1978,63.0,Clermont,France,2011,2011-09-09,France,1978-09-20,12042.0
Thierry Dusautoir (c),Back row,18 November 1981,43.0,Toulouse,France,2011,2011-09-09,France,1981-11-18,10887.0
Imanol Harinordoquy,Back row,20 February 1980,70.0,Biarritz,France,2011,2011-09-09,France,1980-02-20,11524.0
Fulgence Ouedraogo,Back row,21 July 1986,23.0,Montpellier,France,2011,2011-09-09,France,1986-07-21,9181.0
Raphaël Lakafia,Back row,28 October 1988,1.0,Biarritz,France,2011,2011-09-09,France,1988-10-28,8351.0
Louis Picamoles,Back row,5 February 1986,18.0,Toulouse,France,2011,2011-09-09,France,1986-02-05,9347.0
Morgan Parra,Scrum-half,15 November 1988,29.0,Clermont,France,2011,2011-09-09,France,1988-11-15,8333.0
Dimitri Yachvili,Scrum-half,19 September 1980,52.0,Biarritz,France,2011,2011-09-09,France,1980-09-19,11312.0
Jean-Marc Doussain,Fly-half,12 February 1991,0.0,Toulouse,France,2011,2011-09-09,France,1991-02-12,7514.0
François Trinh-Duc,Fly-half,11 November 1986,29.0,Montpellier,France,2011,2011-09-09,France,1986-11-11,9068.0
David Skrela,Fly-half,2 March 1979,22.0,Clermont,France,2011,2011-09-09,France,1979-03-02,11879.0
Fabrice Estebanez,Centre,26 December 1981,5.0,Racing Métro,France,2011,2011-09-09,France,1981-12-26,10849.0
David Marty,Centre,30 October 1982,34.0,Perpignan,France,2011,2011-09-09,France,1982-10-30,10541.0
Maxime Mermoz,Centre,28 July 1986,9.0,Perpignan,France,2011,2011-09-09,France,1986-07-28,9174.0
Aurélien Rougerie,Centre,26 September 1980,64.0,Clermont,France,2011,2011-09-09,France,1980-09-26,11305.0
Vincent Clerc,Wing,7 May 1981,50.0,Toulouse,France,2011,2011-09-09,France,1981-05-07,11082.0
Maxime Médard,Wing,16 November 1986,21.0,Toulouse,France,2011,2011-09-09,France,1986-11-16,9063.0
Alexis Palisson,Wing,9 September 1987,16.0,Toulon,France,2011,2011-09-09,France,1987-09-09,8766.0
Cédric Heymans,Fullback,20 July 1978,55.0,Bayonne,France,2011,2011-09-09,France,1978-07-20,12104.0
Damien Traille,Fullback,12 June 1979,83.0,Biarritz,France,2011,2011-09-09,France,1979-06-12,11777.0
Yusuke Aoki,Hooker,28 February 1983,21.0,Suntory Sungoliath,Japan,2011,2011-09-09,Japan,1983-02-28,10420.0
Shota Horie,Hooker,21 January 1986,14.0,Panasonic Wild Knights,Japan,2011,2011-09-09,Japan,1986-01-21,9362.0
Hiroki Yuhara,Hooker,21 January 1984,8.0,Toshiba Brave Lupus,Japan,2011,2011-09-09,Japan,1984-01-21,10093.0
Nozomu Fujita,Prop,2 October 1984,10.0,Honda Heat,Japan,2011,2011-09-09,Japan,1984-10-02,9838.0
Kensuke Hatakeyama,Prop,2 August 1985,23.0,Suntory Sungoliath,Japan,2011,2011-09-09,Japan,1985-08-02,9534.0
Hisateru Hirashima,Prop,15 January 1983,24.0,Kobelco Steelers,Japan,2011,2011-09-09,Japan,1983-01-15,10464.0
Naoki Kawamata,Prop,31 October 1985,17.0,Panasonic Wild Knights,Japan,2011,2011-09-09,Japan,1985-10-31,9444.0
Toshizumi Kitagawa,Lock,7 February 1981,37.0,Toyota Verblitz,Japan,2011,2011-09-09,Japan,1981-02-07,11171.0
Yuji Kitagawa,Lock,11 August 1986,5.0,Panasonic Wild Knights,Japan,2011,2011-09-09,Japan,1986-08-11,9160.0
Hitoshi Ono,Lock,6 May 1978,51.0,Toshiba Brave Lupus,Japan,2011,2011-09-09,Japan,1978-05-06,12179.0
Luke Thompson,Lock,16 April 1981,34.0,Kintetsu Liners,Japan,2011,2011-09-09,Japan,1981-04-16,11103.0
Takashi Kikutani (c),Back row,24 February 1980,44.0,Toyota Verblitz,Japan,2011,2011-09-09,Japan,1980-02-24,11520.0
Michael Leitch,Back row,7 October 1988,19.0,Toshiba Brave Lupus,Japan,2011,2011-09-09,Japan,1988-10-07,8372.0
Sione Vatuvei,Back row,14 March 1983,5.0,Panasonic Wild Knights,Japan,2011,2011-09-09,Japan,1983-03-14,10406.0
Itaru Taniguchi,Back row,1 October 1984,7.0,Kobelco Steelers,Japan,2011,2011-09-09,Japan,1984-10-01,9839.0
Toetu'u Taufa,Back row,8 October 1980,21.0,Kintetsu Liners,Japan,2011,2011-09-09,Japan,1980-10-08,11293.0
Ippei Asada,Scrum-half,26 June 1980,0.0,Toyota Verblitz,Japan,2011,2011-09-09,Japan,1980-06-26,11397.0
Atsushi Hiwasa,Scrum-half,22 May 1987,6.0,Suntory Sungoliath,Japan,2011,2011-09-09,Japan,1987-05-22,8876.0
Fumiaki Tanaka,Scrum-half,3 January 1985,28.0,Panasonic Wild Knights,Japan,2011,2011-09-09,Japan,1985-01-03,9745.0
James Arlidge,Fly-half,11 August 1979,29.0,Nottingham,England,2011,2011-09-09,Japan,1979-08-11,11717.0
Murray Williams,Fly-half,27 June 1982,3.0,Toyota Shokki,Japan,2011,2011-09-09,Japan,1982-06-27,10666.0
Ryan Nicholas,Centre,23 May 1979,32.0,Suntory Sungoliath,Japan,2011,2011-09-09,Japan,1979-05-23,11797.0
Bryce Robins,Centre,19 September 1980,24.0,Honda Heat,Japan,2011,2011-09-09,Japan,1980-09-19,11312.0
Koji Taira,Centre,12 January 1983,30.0,Suntory Sungoliath,Japan,2011,2011-09-09,Japan,1983-01-12,10467.0
Alisi Tupuailai,Centre,28 September 1980,16.0,Canon Eagles,Japan,2011,2011-09-09,Japan,1980-09-28,11303.0
Kosuke Endo,Wing,11 November 1980,38.0,Toyota Verblitz,Japan,2011,2011-09-09,Japan,1980-11-11,11259.0
Hirotoki Onozawa,Wing,29 March 1978,64.0,Suntory Sungoliath,Japan,2011,2011-09-09,Japan,1978-03-29,12217.0
Takehisa Usuzuki,Wing,28 September 1985,6.0,Toshiba Brave Lupus,Japan,2011,2011-09-09,Japan,1985-09-28,9477.0
Taihei Ueda,Fullback,3 March 1982,5.0,Honda Heat,Japan,2011,2011-09-09,Japan,1982-03-03,10782.0
Shaun Webb,Fullback,30 December 1981,31.0,Coca-Cola West,Japan,2011,2011-09-09,Japan,1981-12-30,10845.0
Corey Flynn,Hooker,5 January 1981,15.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1981-01-05,11204.0
Andrew Hore,Hooker,13 September 1978,60.0,Hurricanes,New Zealand,2011,2011-09-09,New Zealand,1978-09-13,12049.0
Keven Mealamu,Hooker,20 March 1979,90.0,Blues,New Zealand,2011,2011-09-09,New Zealand,1979-03-20,11861.0
John Afoa,Prop,10 September 1983,36.0,Blues,New Zealand,2011,2011-09-09,New Zealand,1983-09-10,10226.0
Ben Franks,Prop,27 March 1984,14.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1984-03-27,10027.0
Owen Franks,Prop,23 December 1987,29.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1987-12-23,8661.0
Tony Woodcock,Prop,27 January 1981,81.0,Blues,New Zealand,2011,2011-09-09,New Zealand,1981-01-27,11182.0
Anthony Boric,Lock,27 December 1983,23.0,Blues,New Zealand,2011,2011-09-09,New Zealand,1983-12-27,10118.0
Brad Thorn,Lock,3 February 1975,57.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1975-02-03,13367.0
Sam Whitelock,Lock,12 October 1988,23.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1988-10-12,8367.0
Ali Williams,Lock,30 April 1981,71.0,Blues,New Zealand,2011,2011-09-09,New Zealand,1981-04-30,11089.0
Jerome Kaino,Back row,6 April 1983,46.0,Blues,New Zealand,2011,2011-09-09,New Zealand,1983-04-06,10383.0
Richie McCaw (c),Back row,31 December 1980,101.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1980-12-31,11209.0
Adam Thomson,Back row,13 March 1982,24.0,Highlanders,New Zealand,2011,2011-09-09,New Zealand,1982-03-13,10772.0
Kieran Read,Back row,26 October 1985,34.0,Crusaders,New Zealand,2011,2011-09-09,New Zealand,1985-10-26,9449.0
Victor Vito,Back row,27 March 1987,12.0,Hurricanes,New Zealand,2011,2011-09-09,New Zealand,1987-03-27,8932.0
Jimmy Cowan,Scrum-half,6 March 1982,51.0,Highlanders,New Zealand,2011,2011-09-09,New Zealand,1982-03-06,10779.0
